file_name,age,gender
0/0000_age_10_gender_0.jpg,10,0
0/0001_age_10_gender_0.jpg,10,0
0/0002_age_10_gender_0.jpg,10,0
0/0003_age_10_gender_0.jpg,10,0
0/0004_age_10_gender_0.jpg,10,0
0/0005_age_10_gender_0.jpg,10,0
0/0006_age_10_gender_0.jpg,10,0
0/0007_age_10_gender_0.jpg,10,0
0/0008_age_10_gender_0.jpg,10,0
0/0009_age_10_gender_0.jpg,10,0
0/0010_age_10_gender_0.jpg,10,0
0/0011_age_10_gender_0.jpg,10,0
0/0012_age_10_gender_0.jpg,10,0
0/0013_age_10_gender_0.jpg,10,0
0/0014_age_10_gender_0.jpg,10,0
0/0015_age_11_gender_0.jpg,11,0
0/0016_age_11_gender_0.jpg,11,0
0/0017_age_11_gender_0.jpg,11,0
0/0018_age_11_gender_0.jpg,11,0
0/0019_age_11_gender_0.jpg,11,0
0/0020_age_11_gender_0.jpg,11,0
0/0021_age_11_gender_0.jpg,11,0
0/0022_age_11_gender_0.jpg,11,0
0/0023_age_12_gender_0.jpg,12,0
0/0024_age_12_gender_0.jpg,12,0
0/0025_age_12_gender_0.jpg,12,0
0/0026_age_12_gender_0.jpg,12,0
0/0027_age_12_gender_0.jpg,12,0
0/0028_age_12_gender_0.jpg,12,0
0/0029_age_12_gender_0.jpg,12,0
0/0030_age_12_gender_0.jpg,12,0
0/0031_age_12_gender_0.jpg,12,0
0/0032_age_12_gender_0.jpg,12,0
0/0033_age_12_gender_0.jpg,12,0
0/0034_age_12_gender_0.jpg,12,0
0/0035_age_13_gender_0.jpg,13,0
0/0036_age_13_gender_0.jpg,13,0
0/0037_age_13_gender_0.jpg,13,0
0/0038_age_13_gender_0.jpg,13,0
0/0039_age_14_gender_0.jpg,14,0
0/0040_age_14_gender_0.jpg,14,0
0/0041_age_14_gender_0.jpg,14,0
0/0042_age_14_gender_0.jpg,14,0
0/0043_age_14_gender_0.jpg,14,0
0/0044_age_14_gender_0.jpg,14,0
0/0045_age_14_gender_0.jpg,14,0
0/0046_age_14_gender_0.jpg,14,0
0/0047_age_14_gender_0.jpg,14,0
0/0048_age_14_gender_0.jpg,14,0
0/0049_age_14_gender_0.jpg,14,0
0/0050_age_14_gender_0.jpg,14,0
0/0051_age_14_gender_0.jpg,14,0
